epoch,f1_metric,iou_metric,loss,val_f1_metric,val_iou_metric,val_loss,learning_rate
1,0.3983767330646515,0.26375433802604675,1.9598207473754883,0.0002838130749296397,0.0001419677137164399,2.280608654022217,9.999999747378752e-05
2,0.5283937454223633,0.3726941645145416,1.3404017686843872,2.8870436707961744e-08,1.4435234341192427e-08,2.477517604827881,9.999999747378752e-05
3,0.5814749598503113,0.4214957058429718,1.2170767784118652,2.8870436707961744e-08,1.4435234341192427e-08,2.651447057723999,9.999999747378752e-05
4,0.5971460342407227,0.4422759413719177,1.1666332483291626,2.8870436707961744e-08,1.4435234341192427e-08,2.816502332687378,9.999999747378752e-05
5,0.6035436987876892,0.44711190462112427,1.145103096961975,2.8870436707961744e-08,1.4435234341192427e-08,2.9940335750579834,9.999999747378752e-05
6,0.6484108567237854,0.4928768277168274,1.0480047464370728,2.8870436707961744e-08,1.4435234341192427e-08,3.0494861602783203,9.999999747378752e-05
7,0.657477855682373,0.5067082643508911,1.017880916595459,2.8870436707961744e-08,1.4435234341192427e-08,3.188656806945801,4.999999873689376e-05
8,0.6752431988716125,0.522392213344574,0.974130392074585,2.8870436707961744e-08,1.4435234341192427e-08,3.2705724239349365,4.999999873689376e-05
9,0.6844447255134583,0.5335690975189209,0.9558330178260803,2.8870436707961744e-08,1.4435234341192427e-08,3.34651517868042,4.999999873689376e-05
10,0.6812127232551575,0.532496988773346,0.9570003747940063,2.8870436707961744e-08,1.4435234341192427e-08,3.4484362602233887,4.999999873689376e-05
11,0.6954909563064575,0.5469407439231873,0.9201376438140869,2.8870436707961744e-08,1.4435234341192427e-08,3.596428632736206,4.999999873689376e-05
12,0.7113049626350403,0.5631305575370789,0.9050753712654114,2.8870436707961744e-08,1.4435234341192427e-08,3.635601043701172,2.499999936844688e-05
13,0.7062519788742065,0.5615782141685486,0.8965566754341125,6.665163527941331e-05,3.333264612592757e-05,3.6491026878356934,2.499999936844688e-05
